"","Cls","Atr","Num","Nom","Spl","Dim","NumRate","NomRate","SymMin","SymMax","SymMean","SymSd","SymSum","ClMin","ClMax","ClMean","ClSd","Sks","SksP","Kts","KtsP","AbsC","CanC","Fnd","ClEnt","NClEnt","AtrEnt","NAtrEnt","JEnt","MutInf","EAttr","NoiSig","Nb","Lda","Nn","Nlbst","NSlbst","Mfreq","LCard","LDen","Mir","Scl","Lfq","IRLbl","LScl"
"PDOC50017",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.0237580993520518,0.976241900647948,0.5,0.673507754866668,0,11.1513660915437,3,209.579245743165,0.0559672276065621,1,1,0.112324908762366,0.162050588839771,0.155553377000421,0.145867401759437,0.262368447417058,0.00550983834572951,20.3862439720079,27.2319311819711,0.0237580993520518,NA,1,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.0237580993520518,10.6363636363636,0.0858629986330939
"PDOC50003",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.0215982721382289,0.978401727861771,0.5,0.676562211804839,0,10.6642946610825,3,208.640013007298,0.0695138264392512,1.00000000000001,1,0.104195771637519,0.150322723023048,0.155553377000421,0.145867401759437,0.255169611602776,0.00457953703516474,22.7524683908951,32.9670529588424,0.0215982721382289,NA,0.993520518358531,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.0215982721382289,11.7,0.264055595276048
"PDOC50006",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.00647948164146868,0.993520518358531,0.5,0.697943410372035,0,10.3219123522424,3,209.940186762735,0.0541463131090395,1.00000000000001,1,0.0391092959258694,0.0564227872849108,0.155553377000421,0.145867401759437,0.192813420464152,0.00184925246213871,21.1487056129905,83.1168959810491,0.00647948164146868,NA,0.997840172786177,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.00647948164146868,39,0.434689762988363
"PDOC50156",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.0323974082073434,0.967602591792657,0.5,0.661289927113985,0,11.4589148107111,3,209.287902490493,0.056662753100913,0.999999999999998,1,0.142979492232138,0.206275804392128,0.155553377000421,0.145867401759437,0.291869847003449,0.00666302222911023,21.4586545438002,22.3457688795965,0.0323974082073434,NA,0.997840172786177,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.0323974082073434,7.8,0.0782375681113293
"PDOC00662",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.0669546436285097,0.93304535637149,0.5,0.612418616103252,0,12.0746195598609,3,208.541602633798,0.0618693274388124,1,1,0.245689348987972,0.354454805384186,0.155553377000421,0.145867401759437,0.394145027086821,0.00709769890157292,34.6153524395808,20.9160292874566,0.0669546436285097,NA,1,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.0669546436285097,3.7741935483871,0
"PDOC00018",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.0129589632829374,0.987041036717063,0.5,0.688780039557523,0,10.6087387139828,3,209.509413356266,0.055414655125469,0.999999999999994,1,0.0691938652006616,0.0998256461849339,0.155553377000421,0.145867401759437,0.220770057518627,0.00397718468245606,17.3976998115993,38.111429169128,0.0129589632829374,NA,0.997840172786177,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.0129589632829374,19.5,0.172639457125998
"PDOC50001",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.00863930885529158,0.991360691144708,0.5,0.694888953433864,0,10.2891924154031,3,209.611972084904,0.0547778512085855,1.00000000000001,1,0.0496509766299278,0.0716312177592906,0.155553377000421,0.145867401759437,0.202264329900687,0.00294002372966282,16.8879509811379,51.9088848606882,0.00863930885529158,NA,1,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.00863930885529158,29.25,0.21123395893
"PDOC00014",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.00215982721382289,0.997840172786177,0.5,0.704052324248377,0,9.97974161577709,3,211.305578844963,0.0546052588322375,1.00000000000001,1,0.0154139230284303,0.0222375903137605,0.155553377000421,0.145867401759437,0.170578366363794,0.000388933665057261,39.6312389830306,398.948348460706,0.997840172786177,NA,0.997840172786177,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.00215982721382289,117,0.816666884298441
"PDOC00750",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.00647948164146868,0.993520518358531,0.5,0.697943410372035,0,10.3171380566156,3,209.846762312265,0.0545274718819931,1,1,0.0391092959258694,0.0564227872849108,0.155553377000421,0.145867401759437,0.193561541925737,0.00110113100055321,35.5173870377103,140.26691276721,0.00647948164146868,NA,1,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.00647948164146868,39,0.511101051358466
"PDOC50196",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.00215982721382289,0.997840172786177,0.5,0.704052324248377,0,9.97844597436971,3,211.269495491183,0.0551560899624814,1.00000000000002,1,0.0154139230284303,0.0222375903137605,0.155553377000421,0.145867401759437,0.170404549499826,0.000562750529025555,27.3903305877306,275.416225267302,0.997840172786177,NA,0.997840172786177,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.00215982721382289,117,0.735135768318012
"PDOC00653",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.00215982721382289,0.997840172786177,0.5,0.704052324248377,0,9.97497442593502,3,211.167645944922,0.0551787984938761,1,1,0.0154139230284303,0.0222375903137605,0.155553377000421,0.145867401759437,0.16984816579091,0.00111913423794098,13.7730778899136,137.994386666798,0.997840172786177,NA,0.997840172786177,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.00215982721382289,117,0.705188907523964
"PDOC00030",2,100,0,100,463,0.215982721382289,0,1,2,463,6.56435643564356,45.8712144686805,663,0.00647948164146868,0.993520518358531,0.5,0.697943410372035,0,10.3171063027817,3,209.846508377305,0.0545364904533656,0.999999999999998,1,0.0391092959258694,0.0564227872849108,0.155553377000421,0.145867401759437,0.193578191274851,0.00108448165143948,36.0626626314591,142.435692797521,0.00647948164146868,NA,1,29,8,116,1.26133909287257,0.0504535637149028,24.7689563096114,0.0281768508607841,0.00647948164146868,39,0.557060945563271
